rowId,measurement,value,log
addSaltAndPepperNoise/addSaltAndPepperNoise,elapsedMilliseconds,7515.6981999999998,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,actualRunSeconds,7.5156982000000001,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,processElapsedMilliseconds,10614.6594,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,processElapsedSeconds,10.614659400000001,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,rssDeltaBytes,48480256,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,rssPeakDeltaKB,47344,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,predictedMemoryPeakBytes,4096,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,estimatedPeakMemoryKB,4,tmp/runJson_20260513_112920/repeat_003/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,elapsedMilliseconds,7205.4629000000004,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,actualRunSeconds,7.2054629000000006,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,processElapsedMilliseconds,9585.5069000000003,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,processElapsedSeconds,9.5855069000000004,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,rssDeltaBytes,48119808,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,rssPeakDeltaKB,46992,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,predictedMemoryPeakBytes,4096,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,estimatedPeakMemoryKB,4,tmp/runJson_20260513_112920/repeat_002/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,elapsedMilliseconds,6499.4171999999999,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,actualRunSeconds,6.4994171999999999,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,processElapsedMilliseconds,8871.6700000000001,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,processElapsedSeconds,8.8716699999999999,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,rssDeltaBytes,27148288,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,rssPeakDeltaKB,26512,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,predictedMemoryPeakBytes,4096,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addSaltAndPepperNoise/addSaltAndPepperNoise,estimatedPeakMemoryKB,4,tmp/runJson_20260513_112920/repeat_001/addSaltAndPepperNoise/addSaltAndPepperNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,elapsedMilliseconds,2212.4391999999998,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,actualRunSeconds,2.2124391999999999,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,processElapsedMilliseconds,4122.8580000000002,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,processElapsedSeconds,4.1228579999999999,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,rssDeltaBytes,46710784,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,rssPeakDeltaKB,45616,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,predictedMemoryPeakBytes,32768,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,estimatedPeakMemoryKB,32,tmp/runJson_20260513_112920/repeat_003/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,elapsedMilliseconds,3458.5300999999999,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,actualRunSeconds,3.4585300999999999,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,processElapsedMilliseconds,5041.3033000000005,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,processElapsedSeconds,5.0413033,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,rssDeltaBytes,47513600,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,rssPeakDeltaKB,46400,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,predictedMemoryPeakBytes,32768,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
addShotSpeckleNoise/addShotSpeckleNoise,estimatedPeakMemoryKB,32,tmp/runJson_20260513_112920/repeat_002/addShotSpeckleNoise/addShotSpeckleNoise.out
